epoch,accuracy,loss,val_accuracy,val_loss
0,0.8017302751541138,0.5621023178100586,0.7230100035667419,0.8822860717773438
1,0.8042358160018921,0.5599592924118042,0.7377576231956482,0.862638533115387
2,0.8086796402931213,0.5400068163871765,0.7417281270027161,0.8607207536697388
3,0.8108542561531067,0.5299017429351807,0.7387029528617859,0.8760399222373962
4,0.8101451396942139,0.5371894836425781,0.7494800686836243,0.8521532416343689
5,0.8139271140098572,0.5264103412628174,0.7447532415390015,0.853258490562439
6,0.799413800239563,0.5721666216850281,0.7462658286094666,0.8421512842178345
7,0.8165271878242493,0.5209084749221802,0.7458876967430115,0.8509355783462524
8,0.8144471049308777,0.5257928967475891,0.7500472664833069,0.8560124039649963
9,0.8218219876289368,0.5067485570907593,0.7500472664833069,0.831868588924408
10,0.8164799213409424,0.5091864466667175,0.7568538188934326,0.8456453084945679
11,0.8206873536109924,0.5069601535797119,0.7487237453460693,0.8456944227218628
12,0.8296222686767578,0.49490228295326233,0.750803530216217,0.8665728569030762
13,0.8242802619934082,0.49574702978134155,0.7422953248023987,0.8961049318313599
14,0.8233347535133362,0.5030506253242493,0.7453204989433289,0.8748154640197754
15,0.8272585272789001,0.4868818521499634,0.7456986308097839,0.8775938153266907
16,0.8116579055786133,0.5354344248771667,0.7491019368171692,0.8798545598983765
17,0.822436511516571,0.49719011783599854,0.7540177702903748,0.8675070405006409
18,0.8231929540634155,0.5103886723518372,0.7474002838134766,0.8771812319755554
19,0.8310877680778503,0.4827105402946472,0.750425398349762,0.8842485547065735
